,date,party,chamber,polarity
0,2017-06-26,D,House,0.1198565055315057
1,2017-06-26,D,Senate,0.026290720087392184
2,2017-06-26,R,House,0.1864283873976169
3,2017-06-26,R,Senate,0.17980638332382518
4,2017-06-27,D,House,0.11735087952300113
5,2017-06-27,D,Senate,0.06893405272328144
6,2017-06-27,R,House,0.16120075042974633
7,2017-06-27,R,Senate,0.1872739910478764
8,2017-06-28,D,House,0.11431811432708688
9,2017-06-28,D,Senate,0.08933168715065269
10,2017-06-28,R,House,0.1791663198990451
11,2017-06-28,R,Senate,0.16173413791595612
12,2017-06-29,D,House,0.1162857779212608
13,2017-06-29,D,Senate,0.07845965902784086
14,2017-06-29,R,House,0.1697278515562369
15,2017-06-29,R,Senate,0.16697248376623372
16,2017-06-30,D,House,0.13908921755705472
17,2017-06-30,D,Senate,0.13709182141107018
18,2017-06-30,R,House,0.21626247961198394
19,2017-06-30,R,Senate,0.13710393403162302
20,2017-07-01,D,House,0.11284022182806908
21,2017-07-01,D,Senate,0.21365268329554044
22,2017-07-01,R,House,0.18995219182112383
23,2017-07-01,R,Senate,0.2584405834405835
24,2017-07-02,D,House,0.10780447854008247
25,2017-07-02,D,Senate,0.06586203302869968
26,2017-07-02,R,House,0.3064915193093159
27,2017-07-02,R,Senate,0.09770472582972584
28,2017-07-03,D,House,0.1578253599576671
29,2017-07-03,D,Senate,0.08589763981809437
30,2017-07-03,R,House,0.17758635941481682
31,2017-07-03,R,Senate,0.20145612630368726
32,2017-07-04,D,House,0.41168090192115736
33,2017-07-04,D,Senate,0.3393334335417669
34,2017-07-04,R,House,0.5277344877344875
35,2017-07-04,R,Senate,0.43488943001442976
36,2017-07-05,D,House,0.15664762804672935
37,2017-07-05,D,Senate,0.10040060392974899
38,2017-07-05,R,House,0.18192410297452316
39,2017-07-05,R,Senate,0.18823243255061442
40,2017-07-06,D,House,0.1464667210575775
41,2017-07-06,D,Senate,0.1297950182476205
42,2017-07-06,R,House,0.21874424243603158
43,2017-07-06,R,Senate,0.2179967379768967
44,2017-07-07,D,House,0.13600871985425397
45,2017-07-07,D,Senate,0.11967252226093694
46,2017-07-07,R,House,0.15979910400127437
47,2017-07-07,R,Senate,0.20829921081209737
48,2017-07-08,D,House,0.1600472977769665
49,2017-07-08,D,Senate,0.15768730987480986
50,2017-07-08,R,House,0.1623282427449094
51,2017-07-08,R,Senate,0.12125073372954726
52,2017-07-09,D,House,0.15725835826754947
53,2017-07-09,D,Senate,0.11926987942612942
54,2017-07-09,R,House,0.18439697297651841
55,2017-07-09,R,Senate,0.17925434904601573
56,2017-07-10,D,House,0.1289213499008626
57,2017-07-10,D,Senate,0.08464002143091169
58,2017-07-10,R,House,0.21654792813102694
59,2017-07-10,R,Senate,0.20476739800603444
