topic,D_pattern,R_pattern,D_vader,R_vader,words,diff_pattern,diff_vader,model
11,0.0675287665127,0.07068166374,0.0439893405601,0.115864235294,family prayer thought victim la friend working vega praying life,0.00315289722729,0.071874894734,nmf
8,0.107889133407,0.122669307658,0.150891369228,0.185643768575,live watch tune join discus joining pm hearing hall talk,0.0147801742504,0.0347523993477,nmf
19,0.106080923469,0.12229080329,0.188138967211,0.227957356508,need help harvey puerto hurricane rico resource federal office relief,0.0162098798213,0.0398183892972,nmf
0,0.115986409736,0.136285870879,0.138359897113,0.208313696522,act congress support proud dreamer daca right stand protect pas,0.0202994611429,0.069953799409,nmf
3,0.664378189752,0.686215754485,0.722807379824,0.754696051571,happy birthday wishing friend celebrate year america celebrating safe july,0.0218375647326,0.0318886717473,nmf
13,0.114849938066,0.137244847425,0.180354965157,0.191322864803,live watch amendment speaking official free democrat listen pm history,0.0223949093591,0.010967899646,lda
10,0.109640867852,0.135388752633,0.182915218555,0.231855239327,community county service center local update leader rural meeting school,0.0257478847801,0.0489400207724,nmf
19,0.100385686186,0.126677962223,0.114853445899,0.212697532083,country look world code forward lose introduced hold challenge idea,0.026292276037,0.0978440861835,lda
14,0.239184690147,0.268681738013,0.594463453632,0.624140913043,thanks meeting support coming office morning stopping leadership hosting joining,0.0294970478655,0.0296774594117,nmf
17,0.115141907876,0.146534048946,0.281082489504,0.347739266132,need help protect like stop access tonight future economy big,0.0313921410703,0.0666567766289,lda
18,0.128883061083,0.160526016943,0.0855236001093,0.243750433839,new house statement effort passed legislation best floor budget violence,0.0316429558599,0.15822683373,lda
0,0.168380099263,0.200065930869,0.282898307552,0.372076258036,day proud community read program repeal funding security thank yesterday,0.031685831606,0.0891779504836,lda
15,0.153948982691,0.188080287612,0.238978210117,0.359645953757,new year job state ago congrats celebrating congratulation school report,0.0341313049214,0.12066774364,nmf
6,0.480145271048,0.520375595628,0.57677248062,0.630228897686,great meeting news visit morning meet dc student discussion job,0.0402303245793,0.0534564170656,nmf
11,0.147314525285,0.187668777093,0.209371180364,0.302056391555,work important home safe cost insurance city dont report stay,0.040354251808,0.0926852111907,lda
5,0.107802263572,0.14865695818,0.176090442092,0.276582811413,today honor ago hearing celebrate meeting year met office remember,0.040854694608,0.100492369321,nmf
2,0.0794595816929,0.121617455225,0.0629000338181,0.215141179856,tax reform code plan cut taxreform job gop business class,0.042157873532,0.152241146038,nmf
2,0.0938969939695,0.136241998636,0.162365734665,0.232479295589,morning student hearing school la mean high kid increase vega,0.0423450046668,0.0701135609244,lda
8,0.169772805335,0.212554638455,0.275407459278,0.329554105233,join discus great meeting county harvey talk hall hurricane town,0.0427818331196,0.0541466459543,lda
15,0.138640815625,0.187085376834,0.241336441982,0.361316817204,thanks way tune policy latest talking puerto month small rico,0.048444561209,0.119980375222,lda
17,0.102089339143,0.151228480055,0.0449121580547,0.132337998936,statement read oped daca decision repeal letter senate iran regarding,0.0491391409125,0.0874258408809,nmf
7,0.173594274059,0.225721057375,0.549234175153,0.615651166329,thank service leadership support standing supporting meeting honor responder fighting,0.0521267833167,0.0664169911759,nmf
7,0.106540467123,0.16128783492,0.195645422078,0.310438263158,bipartisan member congressman russia congratulation economic defense industry visiting think,0.0547473677974,0.11479284108,lda
12,0.0454477813134,0.101391907255,-0.034403401932,0.148080848244,act trump plan cut medicaid committee administration benefit ready said,0.0559441259412,0.182484250176,lda
6,0.110381447761,0.168541937724,0.131635465262,0.310539791568,life working woman know end public attack pay protection safety,0.0581604899633,0.178904326306,lda
9,0.046455399675,0.104845931823,0.0202478013148,0.183564202532,american people million trumpcare healthcare deserve life coverage want protectourcare,0.0583905321476,0.163316401217,nmf
4,0.0077847426911,0.0698593341053,-0.0420935804591,0.113159359431,trump president administration say donald admin russia white charlottesville russian,0.0620745914142,0.15525293989,nmf
10,0.0968478666807,0.159165534892,0.132823513674,0.246277137809,service veteran law national business issue local federal learn story,0.0623176682114,0.113453624135,lda
18,0.171813466152,0.234879090295,0.317665293922,0.414228904665,work hard improve bipartisan aca make continue let good proud,0.0630656241434,0.096563610743,nmf
12,0.188629540845,0.252943164752,0.277510902747,0.376894896907,day independence national read labor woman honor beautiful celebrate academy,0.064313623907,0.0993839941597,nmf
13,0.0562981703551,0.120915382881,0.0594150826956,0.214703507318,house white senate passed floor week vote amendment committee gop,0.0646172125264,0.155288424623,nmf
16,0.116917398839,0.181912386652,0.155280023594,0.311214350064,time taking taxreform come past stop congress code long spending,0.0649949878124,0.15593432647,nmf
5,0.142802169417,0.208284872464,0.157134141528,0.323777047913,time right office dc opportunity washington discussion thing including real,0.0654827030469,0.166642906385,lda
9,0.157368905894,0.225118148745,0.176736079494,0.315434073359,family people great nation fight let honor continue friend prayer,0.0677492428512,0.138697993865,lda
16,0.0745173070928,0.142665009182,0.289470009604,0.335086541738,today health care tax thank week senate reform vote gop,0.0681477020888,0.0456165321341,lda
1,0.0422572930787,0.117803441593,0.250826945201,0.434200465477,health care senate gop trumpcare republican million medicaid insurance coverage,0.0755461485142,0.183373520276,nmf
3,0.0244180765344,0.111654151224,-0.00391353778751,0.141944005848,president trump visit white north met looking charlottesville place letter,0.0872360746892,0.145857543635,lda
1,0.136575632021,0.22383357448,0.142286812412,0.275720827124,good say news taxreform victim today step night senator air,0.0872579424591,0.133434014712,lda
4,0.109387797763,0.209924559159,0.144459962721,0.350883430103,congress make job healthcare state america aca action grahamcassidy decision,0.100536761396,0.206423467381,lda
14,0.132603256047,0.262221148553,0.197325606842,0.406077979275,american support year million happy daca trumpcare stand dreamer republican,0.129617892507,0.208752372433,lda
