,topic_nmf,D,R,words_nmf,diff
12,12,0.10591365880594208,0.10707426796779511,help need harvey hurricane victims irma families texas,0.001160609161853024
8,8,0.10821699619847931,0.12527183360026764,live watch tune discuss join ll joining town,0.017054837401788328
7,7,0.10548008708936771,0.1236565653885685,tax reform code plan taxreform families jobs cuts,0.0181764782992008
10,10,0.06961451483496714,0.08817671293159439,daca dreamers congress defenddaca protect act stand pass,0.01856219809662725
3,3,0.5524572234699558,0.5320625369760719,happy birthday th wishing friend years july celebrate,0.020394686493883984
15,15,0.05921991953804949,0.08129370308729553,people american young prayers country families thoughts deserve,0.022073783549246037
4,4,0.47701808120521283,0.49911837123028363,great meeting news visit meet morning community yesterday,0.0221002900250708
13,13,0.16271792923803322,0.19120881016463298,new year jobs congrats celebrating state week center,0.028490880926599765
11,11,0.23421750934067542,0.26669830506421444,thanks having meeting coming stopping morning tour leadership,0.03248079572353901
14,14,0.2010359969271801,0.2350529539901211,day independence national labor honor women service beautiful,0.034016957062941
19,19,0.3286369312146077,0.2929645577194501,support proud act join bipartisan stand veterans community,0.03567237349515756
0,0,0.08327877017265084,0.12435131193819841,today years ago honor celebrate hearing met meeting,0.041072541765547574
17,17,0.11765094623195423,0.16146213997813172,read statement ed op letter icymi north korea,0.04381119374617749
9,9,0.0693170396792776,0.11699401681535482,house white passed just floor week act senate,0.047676977136077214
2,2,0.006194625156351587,0.05418555104739321,trump president administration russia donald admin white charlottesville,0.047990925891041626
5,5,0.031185106515336524,0.08666236393713515,americans trumpcare senate healthcare gop repeal medicaid millions,0.055477257421798626
6,6,0.1674566308820613,0.2233055666743535,thank service leadership standing meeting supporting honor community,0.05584893579229219
18,18,0.1820340380471615,0.2389380774438838,work hard improve bipartisan make good continue doing,0.056904039396722284
1,1,0.0663208095247264,0.13033306161088065,health care affordable insurance access gop senate republican,0.06401225208615426
16,16,0.11570749324621504,0.20127728693086677,time taking taxreform congress past long come family,0.08556979368465173
