,name,party,chamber,text,score_pattern,score_vader
0,Dan Kildee,D,house,Happy Birthday @RepRichmond!,1.0,0.6114
1,Mike Thompson,D,house,RT @abc7newsbayarea CHECK ON YOUR HOME: Learn how to use this interactive satellite map to see #NorthBayFire damage. Live video: http://abc7ne.ws/2ymdAq5,0.136363636364,-0.4939
2,Marcy Kaptur,D,house,Thank you to all who came out to Rocky River on Monday to discuss our shared challenge of restoring our #GreatLakes. http://www.sanduskyregister.com/story/201707100025,0.0,0.7506
3,Vicente Gonzalez,D,house,Tune in to @CNN @AnaCabrera this evening at 5p.m. ET/ 4p.m. CT as we discuss immigration &amp; the #RepatriateOurPatriots Act,0.0,0.0
4,Adrian Smith,R,house,Need assistance from my office? My staff will be in Ainsworth today ready to meet with you. More information here: http://adriansmith.house.gov/press-release/smith%E2%80%99s-office-announces-august-15-mobile-office-hours,0.35,0.3612
5,Ron DeSantis,R,house,I appreciate her answering my questions &amp; am pleased with the job she is doing. Watch my full line of questioning: https://youtu.be/Afdx01YorCw.,0.425,0.6369
6,Brian Babin,R,house,"Today is #PurpleHeartDay. As the proud father of a Purple Heart recipient, please join me in honoring these brave American heroes. https://twitter.com/DeptofDefense/status/894528820727828484 QT @DeptofDefense On this #PurpleHeartDay and every day, we honor the brave men and women who have sacrificed for this nation. #HonorThem 💜 http://pbs.twimg.com/media/DGoBNxKUAAE9B1N.jpg https://video.twimg.com/amplify_video/894528597658017792/vid/640x360/ROR-dTJPYRjNl8FX.mp4",0.6,0.9793
7,Norma Torres,D,house,Gracias Alejandro hoy el pueblo Guatemalteco me tiene muy orgullosa de todo sus alcances con paz y respeto 👏🏼👏🏼 https://twitter.com/alejand70898546/status/908813080691396609 QT @Alejand70898546 @NormaJTorres Gracias Norma. Esta es su patria por siempre.,0.0,0.5473
8,Jeff Merkley,D,senate,Sending thoughts and prayers to all impacted by the earthquake in Mexico City. #terremoto #PrayForMexico,0.0,0.0
9,Mario Diaz-Balart,R,house,RT @SoStrategyFL Thanks @MarioDB for touring #SSG client @Tote_Maritime's shipping container in #Jacksonville-first in world for LNG! #greatclient https://t.co/sTotkJVidw,0.25,0.4926
10,Doug Collins,R,house,"Join me on 95.1 WJRB at 7:40 to talk about cyber defense in #GA09 &amp; protecting life. At 8:05, join the conversation on 96.7 @WCHMRadio.",0.0,0.5994
11,Eric Swalwell,D,house,"And his silence so far speaks volumes. https://twitter.com/outfrontcnn/status/883472977899270145 QT @OutFrontCNN “The ball is in the President’s court"" to refute or confirm the account of today's meeting w #Putin - @RepSwalwell http://snpy.tv/2tW8DT2",0.1,0.5473
12,Dwight Evans,D,house,RT @matt_jakubowski @RepDwightEvans Thank you for speaking out loudly and often to defend our right to affordable health care under the ACA. I appreciate it. (19143),0.192857142857,0.8126
13,Lamar Smith,R,house,"RT @HouseScience .@LamarSmithTX21, @TXRandy14, @RepBrianBabin: Electric grid resiliency - the update America needs https://www.google.com/amp/www.houstonchronicle.com/opinion/outlook/amp/Smith-Weber-Babin-Electric-grid-resiliency-12247592.php",0.0,0.0
14,Nydia Velázquez,D,house,OK. Finally getting a chance for lunch! On to the afternoon! #DayWithRepNydia http://pbs.twimg.com/media/DDbNSVOXoAcIOYN.jpg,0.25,0.6723
15,Bonnie Watson Coleman,D,house,This bill further erodes the right to trial by jury by imposing a 3- year statute of limitations - shorter than most state laws #HR1215,0.261904761905,-0.1027
16,Jamie Raskin,D,house,Birth control is health care. #ACA gave 55 million women access to birth control w/o out-of-pocket costs. Women won't go back. #Menforchoice https://twitter.com/washingtonpost/status/916321934555656193 QT @washingtonpost Trump administration issues rule narrowing women's access to birth-control coverage under the Affordable Care Act http://wapo.st/2fXOuaw,0.0,0.873
17,Jan Schakowsky,D,house,"As I read over their budget, I wonder if my @GOP colleagues really came to Congress to take food, &amp; health care away from children &amp; seniors",0.2,0.4939
18,Lisa Murkowski,R,senate,We must take preventative steps to end human trafficking and better provide support for victims. http://pbs.twimg.com/ext_tw_video_thumb/913431656169648128/pu/img/4ORQs406hDXLJWOY.jpg https://video.twimg.com/ext_tw_video/913431656169648128/pu/pl/-5TZ2RRNTCT4oW4G.m3u8,0.25,0.5106
19,Bill Cassidy,R,senate,Monitoring the situation closely. Praying for those injured. http://www.wwltv.com/mobile/article/news/local/7-rescued-after-platform-fire-in-lake-pontchartrain/289-483610188,0.0,-0.0516
20,Paul Gosar,R,house,RT @westerncaucus Great pic of several of our Members with Secretary of Agriculture @SecretarySonny Sonny Perdue after today's Western Caucus Member Meeting! http://pbs.twimg.com/media/DFDn11OWAAEprB0.jpg,0.266666666667,0.6588
21,Stephanie Murphy,D,house,"We must all work together to heal our nation's divisions, including Congress. I'm proud to sign a bipartisan commitment to civility. https://t.co/2oZqJM5Lp3",0.8,0.6908
22,Kevin McCarthy,R,house,RT @HouseGOP Our men and women in uniform face challenges every day. #FY18NDAA supports them both at home and abroad. http://pbs.twimg.com/amplify_video_thumb/885911727120019457/img/AqWnPUASU3_KSlbk.jpg https://video.twimg.com/amplify_video/885911727120019457/vid/320x180/GhhwwF8ukWTQtuDS.mp4,0.0,0.4215
23,Bob Casey Jr.,D,senate,"That's a scam, here’s a study to prove it. http://www.urban.org/research/publication/can-200-billion-offset-lost-medicaid-expansion-coverage-under-better-care-reconciliation-act",0.0,-0.5719
24,Jeff Merkley,D,senate,"26.2 miles in 2:09:20 — OR's @G_Rupp is incredible! Congrats on winning the #ChicagoMarathon — 1st American to win since 2002!! #OregonPride https://twitter.com/chimarathon/status/917040899502362624 QT @ChiMarathon Congratulations to Galen Rupp, male winner of the 2017 #ChicagoMarathon, with an official time of 2:09:20! http://pbs.twimg.com/media/DLn7gQVVwAAB9QC.jpg",0.5,0.975
25,Carolyn Maloney,D,house,#ProtectOurCare https://twitter.com/PopularMajority/status/885318550067531777 QT @PopularMajority @RepMaloney The ACA is the best healthcare I've ever had. First time I've ever had eye care &amp; dental care. The peace of mind of having it is priceless!,0.75,0.9579
26,Trent Franks,R,house,.@realDonaldTrump is right to withdraw from #UNESCO – this move signals to the global establishment that the U.S. stands by #Israel. http://pbs.twimg.com/media/DMCDdb6W4AAsQFS.jpg,0.142857142857,0.0
27,Adriano Espaillat,D,house,"I'm holding a press conference upon my return from #PuertoRico tomorrow at 11:30am at #TainoTowers, 2383 2nd Ave (btw 122nd &amp; 123rd streets)",0.0,0.0
28,Ken Calvert,R,house,Our National Security Appropriations package gives our service members a much-deserved pay raise—the largest military pay raise in 8 years.,-0.1,0.1531
29,Sheldon Whitehouse,D,senate,"I urge my Republican colleagues to end this disgraceful repeal effort for good, &amp; to join w/ Dems to improve our health care system.",0.7,0.8807
30,John Conyers,D,house,"...complete the mission should be the first and foremost qualification to being part of our Armed Forces.

5/5",0.25,0.0
31,Patrick Leahy,D,senate,"Yes, I'm a cosponsor of S.200 https://twitter.com/ad617/status/895324273262288896 QT @ad617 @SenatorLeahy @SenSanders @PeterWelch Vote Y to require congressional approval for first nuclear strike #gishwhes2017 #hr669 #s200",0.25,0.8331
32,Marco Rubio,R,senate,Glad DOJ is taking my request seriously &amp; establishing these task forces. Floridians must remain vigilant. http://bit.ly/2wc31Xb,0.0833333333333,0.4588
33,Brian Babin,R,house,Mandatory evacuation has been ordered for low lying unincorporated portions of Liberty County that prone to flooding along Trinity River. http://pbs.twimg.com/media/DIVZJQ6XoAMMTRN.jpg,0.0,-0.2023
34,Don Beyer,D,house,RT @AdamParkhomenko 4/ So what was left out of Ivanka's screening regarding Jared? And what was left out of Jared's screening regarding Ivanka?,0.0,0.0
35,Frank Pallone,D,house,"“Those sides are not equally at fault.The white supremacists are the ones who don’t share our values.”said Pallone.
http://www.njtvonline.org/news/video/rallying-hatred-bigotry-charlottesville/",0.0,0.0516
36,Lynn Jenkins,R,house,Congrats to @joeskc on being named America’s best BBQ restaurant by the New York Post! Keep up the great work!! http://www.kansascity.com/living/liv-columns-blogs/chow-town/article160948619.html,0.723484848485,0.927
37,Judy Chu,D,house,"New CBO: GOP is now choosing between kicking 32 million Americans off insurance, or 22 million. This is absurd http://www.politico.com/story/2017/07/20/republican-health-care-bill-cbo-score-240761",-0.181818181818,0.0
38,Marcy Kaptur,D,house,Shanah Tovah! Happy New Year to those in Northern Ohio and across the world observing #RoshHashanah. http://pbs.twimg.com/media/DKMjr-5V4AAN01f.jpg,0.468181818182,0.6114
39,John Kennedy,R,senate,"It was an honor to meet with  the Adjutant General for the @LANationalGuard, Glenn Curtis. http://pbs.twimg.com/media/DLfce-rX0AEZl5L.jpg",0.05,0.4939
40,Pete Olson,R,house,DON’T FORGET: Missouri City Harvey Disaster Recovery Workshop TODAY 12pm-4pm! Stop by if you have questions or need help filing a claim! http://pbs.twimg.com/media/DK5pfAiWkAAg2b9.jpg,0.0,-0.7793
41,Nanette Barragán,D,house,Good luck to the @USCGLosAngeles air reservist &amp; the @USCG air crew from nearby Point Mugu assisting in #Harvey recovery. You make us proud.,0.75,0.8402
42,Catherine Cortez Masto,D,senate,The data security breach of 143 million Americans' private information at Equifax is deeply concerning. These consumers deserve answers. http://pbs.twimg.com/media/DJPBh3_WsAAuaVT.jpg,0.0,0.34
43,Joyce Beatty,D,house,"On September 29,1979, Sir William Arthur Lewis became the first African-American to receive the Nobel Prize in Economics. #OTD #BlackFact http://pbs.twimg.com/media/DK1oHWXXkAICreQ.jpg",0.25,0.5106
44,Roy Blunt,R,senate,"RT @Elisa_Raffa A sign that while it will feel a bit summery this weekend, fall is on its way! Fall foliage picture sent in by Collette Little! http://pbs.twimg.com/media/DJnLOT9U8AAyW7H.jpg",-0.234375,0.0
45,Jimmy Gomez,D,house,".@realDonaldTrump : It’s frankly disgusting the way you’re able to lie to the America people over &amp; over again...&amp; we are looking into it. https://twitter.com/nbcnews/status/918179926917906432 QT @NBCNews President Trump: ""It's frankly disgusting the way the press is able to write whatever they want to write, and people should look into it."" http://pbs.twimg.com/amplify_video_thumb/918179521848922115/img/nACR3s72KDFt0NFC.jpg https://video.twimg.com/amplify_video/918179521848922115/pl/8pYRkz7c5Sh7SoMB.m3u8",-0.25,-0.4528
46,Cathy McMorris Rodgers,R,house,The tax code is too complex. Our plan for #taxreform17 will make our tax code simple and fair. http://pbs.twimg.com/media/DIgPgWtW4AAD0tR.jpg,0.133333333333,0.3182
47,Martin Heinrich,D,senate,"RT if you want Senate Rs to cancel health care vote today &amp; work with us on solutions to lower premiums, stabilize market &amp; improve coverage",0.0,0.5994
48,Val Demings,D,house,I introduced an amendment to H.R. 3003 that would ensure politics would never impede public safety.  #SanctuaryCities,0.0,0.069
49,Dan Donovan,R,house,Great to hear @SteveScalise is moving forward in his recovery! Continuing to send thoughts &amp; prayers to him and his family. https://twitter.com/MedStarWHC/status/890237102536916993 QT @MedStarWHC July 26: Rep. Steve Scalise was discharged from the hospital and now begins intensive inpatient rehabilitation: http://ow.ly/qpxy30dVOpH,1.0,0.837
50,Ileana Ros-Lehtinen,R,house,"At #MidEast Sub hearing, #US must counter #Hezbollah #Iranian influence + promote security + stability in #Lebanon https://ros-lehtinen.house.gov/press-release/us-policy-lebanon-must-scale-back-hezbollah-iranian-influence-and-promote-security",0.0,0.6124
51,Brian Higgins,D,house,RT @AlbrightKnox From the Blog: Learn more about the creation of Betsy Casañas's new #AKPublicArt mural at 585 Niagara Street. http://bit.ly/2wHu8Gg http://pbs.twimg.com/media/DJDzHv8UQAQ2t7s.jpg,0.318181818182,0.3321
